# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	1	-393
79	20	0	1	-413
80	20	0	1	-433
81	20	0	1	-453
82	20	0	1	-473
83	20	0	1	-493
84	20	0	1	-513
85	20	0	1	-533
86	20	0	1	-553
87	20	0	1	-573
88	20	0	1	-593
89	20	0	1	-613
90	20	0	1	-633
91	20	0	1	-653
92	20	0	1	-673
93	20	0	1	-693
94	20	0	1	-713
95	20	0	1	-733
96	20	0	1	-753
97	20	0	1	-773
98	20	0	1	-793
99	20	0	1	-813
100	20	0	1	-833
101	20	0	1	-853
102	20	0	1	-873
103	20	0	1	-893
104	20	0	1	-913
105	20	0	1	-933
106	20	0	1	-953
107	20	0	1	-973
108	20	0	1	-993
109	20	0	1	-1013
110	20	0	1	-1033
111	20	0	1	-1053
112	20	0	1	-1073
113	20	0	1	-1093
114	20	0	1	-1113
115	20	0	1	-1133
116	20	0	1	-1153
117	20	0	1	-1173
118	20	0	1	-1193
119	20	0	1	-1213
120	20	0	1	-1233
121	20	0	1	-1253
122	20	0	1	-1273
123	20	0	1	-1293
124	20	0	1	-1313
125	20	0	1	-1333
126	20	0	1	-1353
127	20	0	1	-1373
128	20	0	1	-1393
129	20	0	1	-1413
130	20	0	1	-1433
131	20	0	1	-1453
132	20	0	1	-1473
133	20	0	1	-1493
134	20	0	1	-1513
135	20	0	1	-1533
136	19	1	1	-1552
137	19	1	1	-1571
138	19	1	1	-1590
139	19	1	1	-1609
140	19	1	1	-1628
141	19	1	1	-1647
142	19	1	1	-1666
143	19	1	1	-1685
144	19	1	1	-1704
145	19	1	1	-1723
146	19	1	1	-1742
147	19	1	1	-1761
148	19	1	1	-1780
149	19	1	1	-1799
150	19	1	1	-1818
151	19	1	1	-1837
152	19	1	1	-1856
153	19	1	1	-1875
154	19	1	1	-1894
155	19	1	1	-1913
156	19	1	1	-1932
157	19	1	1	-1951
158	19	1	1	-1970
159	19	1	1	-1989
160	19	1	1	-2008
161	19	1	1	-2027
162	19	1	1	-2046
163	19	1	1	-2065
164	19	1	1	-2084
165	19	1	1	-2103
166	19	1	1	-2122
167	19	1	1	-2141
168	19	1	1	-2160
169	19	1	1	-2179
170	19	1	1	-2198
171	19	1	1	-2217
172	19	1	1	-2236
173	19	1	1	-2255
174	19	1	1	-2274
175	19	1	1	-2293
176	19	1	1	-2312
177	19	1	1	-2331
178	19	1	1	-2350
179	19	1	1	-2369
180	19	1	1	-2388
181	19	1	1	-2407
182	19	1	1	-2426
183	19	1	1	-2445
184	19	1	1	-2464
185	19	1	1	-2483
186	19	1	1	-2502
187	19	1	1	-2521
188	19	1	1	-2540
189	19	1	1	-2559
190	19	1	1	-2578
191	19	1	1	-2597
192	19	1	1	-2616
193	19	1	1	-2635
194	19	1	1	-2654
195	19	1	1	-2673
196	19	1	1	-2692
197	19	1	1	-2711
198	19	1	1	-2730
199	19	1	1	-2749
200	19	1	1	-2768
201	19	1	1	-2787
202	19	1	1	-2806
203	19	1	1	-2825
204	19	1	1	-2844
205	19	1	1	-2863
206	19	1	1	-2882
207	19	1	1	-2901
208	19	1	1	-2920
209	19	1	1	-2939
210	19	1	1	-2958
211	19	1	1	-2977
212	19	1	1	-2996
213	19	1	1	-3015
214	19	1	1	-3034
215	19	1	1	-3053
216	19	1	1	-3072
217	19	1	1	-3091
218	19	1	1	-3110
219	20	0	1	-3130
220	20	0	1	-3150
221	20	0	1	-3170
222	20	0	1	-3190
223	20	0	1	-3210
224	20	0	1	-3230
225	20	0	1	-3250
226	20	0	1	-3270
227	20	0	1	-3290
228	20	0	1	-3310
229	20	0	1	-3330
230	20	0	1	-3350
231	20	0	1	-3370
232	20	0	1	-3390
233	20	0	1	-3410
234	20	0	1	-3430
235	20	0	1	-3450
236	20	0	1	-3470
237	20	0	1	-3490
238	20	0	1	-3510
239	20	0	1	-3530
240	20	0	1	-3550
241	20	0	1	-3570
242	20	0	1	-3590
243	20	0	1	-3610
244	20	0	1	-3630
245	20	0	1	-3650
246	20	0	1	-3670
247	20	0	1	-3690
248	20	0	1	-3710
249	20	0	1	-3730
250	20	0	1	-3750
251	20	0	1	-3770
252	20	0	1	-3790
253	20	0	1	-3810
254	20	0	1	-3830
255	20	0	1	-3850
256	20	0	1	-3870
257	20	0	1	-3890
258	20	0	1	-3910
259	20	0	1	-3930
260	20	0	1	-3950
261	20	0	1	-3970
262	20	0	1	-3990
263	20	0	1	-4010
264	20	0	1	-4030
265	20	0	1	-4050
266	20	0	1	-4070
267	20	0	1	-4090
268	20	0	1	-4110
269	20	0	1	-4130
270	20	0	1	-4150
271	20	0	1	-4170
272	20	0	1	-4190
273	20	0	1	-4210
274	20	0	1	-4230
275	20	0	1	-4250
276	20	0	1	-4270
277	20	0	1	-4290
278	20	0	1	-4310
279	20	0	1	-4330
280	20	0	1	-4350
281	20	0	1	-4370
282	20	0	1	-4390
283	20	0	1	-4410
284	20	0	1	-4430
285	20	0	1	-4450
286	20	0	1	-4470
287	20	0	1	-4490
288	20	0	1	-4510
289	20	0	1	-4530
290	20	0	1	-4550
291	20	0	1	-4570
292	20	0	1	-4590
293	20	0	1	-4610
294	20	0	1	-4630
295	20	0	1	-4650
296	20	0	1	-4670
297	20	0	1	-4690
298	20	0	1	-4710
299	20	0	1	-4730
300	20	0	1	-4750
301	20	0	1	-4770
302	20	0	1	-4790
303	20	0	1	-4810
304	20	0	1	-4830
305	20	0	1	-4850
306	20	0	1	-4870
307	20	0	1	-4890
308	20	0	1	-4910
309	20	0	1	-4930
310	20	0	1	-4950
311	20	0	1	-4970
312	20	0	1	-4990
313	20	0	1	-5010
314	20	0	1	-5030
315	20	0	1	-5050
316	20	0	1	-5070
317	20	0	1	-5090
318	20	0	1	-5110
319	20	0	1	-5130
320	20	0	1	-5150
321	20	0	1	-5170
322	20	0	1	-5190
323	20	0	1	-5210
324	20	0	2	-4230
325	20	0	2	-4250
326	20	0	2	-4270
327	20	0	2	-4290
328	20	0	2	-4310
329	20	0	2	-4330
330	20	0	2	-4350
331	20	0	2	-4370
332	20	0	2	-4390
333	20	0	2	-4410
334	20	0	2	-4430
335	20	0	2	-4450
336	20	0	2	-4470
337	20	0	2	-4490
338	20	0	2	-4510
339	20	0	2	-4530
340	20	0	2	-4550
341	20	0	2	-4570
342	20	0	3	-3590
343	20	0	3	-3610
344	20	0	3	-3630
345	20	0	3	-3650
346	20	0	3	-3670
347	20	0	3	-3690
348	20	0	3	-3710
349	20	0	3	-3730
350	20	0	3	-3750
351	20	0	3	-3770
352	20	0	3	-3790
353	20	0	3	-3810
354	20	0	3	-3830
355	20	0	3	-3850
356	20	0	3	-3870
357	20	0	3	-3890
358	20	0	3	-3910
359	20	0	3	-3930
360	20	0	3	-3950
361	20	0	3	-3970
362	20	0	3	-3990
363	20	0	3	-4010
364	20	0	3	-4030
365	20	0	3	-4050
366	20	0	3	-4070
367	20	0	3	-4090
368	20	0	3	-4110
369	20	0	3	-4130
370	20	0	3	-4150
371	20	0	3	-4170
372	20	0	3	-4190
373	20	0	3	-4210
374	20	0	3	-4230
375	20	0	3	-4250
376	20	0	3	-4270
377	20	0	3	-4290
378	20	0	3	-4310
379	20	0	3	-4330
380	20	0	3	-4350
381	20	0	3	-4370
382	19	1	3	-4389
383	19	1	3	-4408
384	19	1	3	-4427
385	19	1	3	-4446
386	19	1	3	-4465
387	19	1	3	-4484
388	19	1	3	-4503
389	19	1	3	-4522
390	19	1	3	-4541
391	19	1	3	-4560
392	19	1	3	-4579
393	19	1	3	-4598
394	19	1	3	-4617
395	19	1	3	-4636
396	19	1	3	-4655
397	19	1	3	-4674
398	19	1	3	-4693
399	19	1	3	-4712
400	18	2	3	-4730
401	18	2	3	-4748
402	18	2	3	-4766
403	18	2	3	-4784
404	18	2	3	-4802
405	18	2	3	-4820
406	18	2	3	-4838
407	18	2	3	-4856
408	18	2	3	-4874
409	18	2	3	-4892
410	18	2	3	-4910
411	18	2	3	-4928
412	18	2	3	-4946
413	18	2	3	-4964
414	18	2	3	-4982
415	18	2	3	-5000
416	18	2	3	-5018
417	18	2	3	-5036
418	18	2	3	-5054
419	18	2	3	-5072
420	18	2	3	-5090
421	18	2	3	-5108
422	18	2	3	-5126
423	18	2	3	-5144
424	18	2	3	-5162
425	18	2	3	-5180
426	18	2	3	-5198
427	18	2	3	-5216
428	18	2	3	-5234
429	18	2	3	-5252
430	18	2	3	-5270
431	18	2	3	-5288
432	18	2	3	-5306
433	18	2	3	-5324
434	18	2	3	-5342
435	18	2	3	-5360
436	18	2	3	-5378
437	18	2	3	-5396
438	18	2	4	-4414
439	18	2	4	-4432
440	18	2	4	-4450
441	18	2	4	-4468
442	18	2	4	-4486
443	18	2	4	-4504
444	18	2	4	-4522
445	18	2	4	-4540
446	18	2	4	-4558
447	18	2	4	-4576
448	18	2	4	-4594
449	18	2	4	-4612
450	18	2	4	-4630
451	18	2	4	-4648
452	18	2	4	-4666
453	18	2	4	-4684
454	18	2	4	-4702
455	18	2	4	-4720
456	19	1	4	-4739
457	19	1	4	-4758
458	19	1	4	-4777
459	19	1	4	-4796
460	19	1	4	-4815
461	19	1	4	-4834
462	19	1	4	-4853
463	19	1	4	-4872
464	19	1	4	-4891
465	19	1	4	-4910
466	19	1	4	-4929
467	19	1	4	-4948
468	19	1	4	-4967
469	19	1	4	-4986
470	19	1	4	-5005
471	19	1	4	-5024
472	19	1	4	-5043
473	19	1	4	-5062
474	19	1	4	-5081
475	19	1	4	-5100
476	19	1	4	-5119
477	19	1	4	-5138
478	19	1	4	-5157
479	19	1	4	-5176
480	19	1	4	-5195
481	19	1	5	-4214
482	19	1	5	-4233
483	19	1	5	-4252
484	19	1	5	-4271
485	19	1	5	-4290
486	19	1	5	-4309
487	19	1	5	-4328
488	19	1	5	-4347
489	19	1	5	-4366
490	19	1	5	-4385
491	19	1	5	-4404
492	19	1	5	-4423
493	19	1	5	-4442
494	19	1	5	-4461
495	19	1	5	-4480
496	19	1	5	-4499
497	18	2	5	-4517
498	18	2	5	-4535
499	18	2	5	-4553
500	19	1	5	-4572
501	19	1	5	-4591
502	19	1	5	-4610
503	19	1	5	-4629
504	19	1	5	-4648
505	19	1	5	-4667
506	19	1	5	-4686
507	19	1	5	-4705
508	19	1	5	-4724
509	19	1	5	-4743
510	19	1	5	-4762
511	19	1	5	-4781
512	19	1	5	-4800
513	19	1	5	-4819
514	19	1	5	-4838
515	19	1	5	-4857
516	19	1	5	-4876
517	19	1	5	-4895
518	19	1	5	-4914
519	19	1	5	-4933
520	19	1	5	-4952
521	19	1	5	-4971
522	19	1	5	-4990
523	19	1	5	-5009
524	19	1	5	-5028
525	19	1	5	-5047
526	19	1	5	-5066
527	19	1	5	-5085
528	19	1	5	-5104
529	19	1	5	-5123
530	19	1	5	-5142
531	19	1	5	-5161
532	19	1	5	-5180
533	19	1	5	-5199
534	19	1	5	-5218
535	19	1	5	-5237
536	19	1	5	-5256
537	19	1	5	-5275
538	19	1	5	-5294
539	19	1	5	-5313
540	18	2	5	-5331
541	18	2	5	-5349
542	18	2	5	-5367
543	18	2	5	-5385
544	18	2	5	-5403
545	18	2	5	-5421
546	18	2	5	-5439
547	18	2	5	-5457
548	18	2	5	-5475
549	18	2	5	-5493
550	18	2	6	-4511
551	18	2	6	-4529
552	18	2	6	-4547
553	18	2	6	-4565
554	18	2	6	-4583
555	18	2	6	-4601
556	18	2	6	-4619
557	18	2	6	-4637
558	18	2	6	-4655
559	18	2	6	-4673
560	18	2	6	-4691
561	18	2	6	-4709
562	18	2	6	-4727
563	18	2	6	-4745
564	18	2	6	-4763
565	18	2	6	-4781
566	18	2	7	-3799
567	18	2	7	-3817
568	18	2	7	-3835
569	18	2	7	-3853
570	18	2	7	-3871
571	18	2	7	-3889
572	18	2	7	-3907
573	18	2	7	-3925
574	18	2	7	-3943
575	18	2	7	-3961
576	18	2	7	-3979
577	18	2	7	-3997
578	18	2	7	-4015
579	18	2	7	-4033
580	18	2	7	-4051
581	18	2	7	-4069
582	18	2	7	-4087
583	18	2	7	-4105
584	18	2	7	-4123
585	18	2	7	-4141
586	18	2	7	-4159
587	18	2	7	-4177
588	18	2	7	-4195
589	18	2	7	-4213
590	18	2	7	-4231
591	18	2	7	-4249
592	18	2	7	-4267
593	18	2	7	-4285
594	18	2	7	-4303
595	18	2	7	-4321
596	18	2	7	-4339
597	18	2	7	-4357
598	18	2	7	-4375
599	18	2	8	-3393
600	18	2	8	-3411
601	18	2	8	-3429
602	19	1	8	-3448
603	19	1	8	-3467
604	19	1	8	-3486
605	19	1	8	-3505
606	19	1	8	-3524
607	19	1	8	-3543
608	19	1	8	-3562
609	18	2	8	-3580
610	18	2	8	-3598
611	18	2	8	-3616
612	18	2	8	-3634
613	18	2	8	-3652
614	18	2	8	-3670
615	18	2	8	-3688
616	18	2	8	-3706
617	18	2	8	-3724
618	18	2	8	-3742
619	18	2	8	-3760
620	18	2	8	-3778
621	18	2	8	-3796
622	18	2	9	-2814
623	18	2	9	-2832
624	17	3	9	-2849
625	17	3	9	-2866
626	18	2	9	-2884
627	18	2	9	-2902
628	18	2	9	-2920
629	18	2	9	-2938
630	18	2	9	-2956
631	18	2	9	-2974
632	18	2	9	-2992
633	18	2	9	-3010
634	18	2	9	-3028
635	18	2	9	-3046
636	18	2	9	-3064
637	18	2	9	-3082
638	18	2	9	-3100
639	18	2	9	-3118
640	18	2	9	-3136
641	18	2	10	-2154
642	18	2	10	-2172
643	18	2	10	-2190
644	18	2	10	-2208
645	18	2	10	-2226
646	18	2	10	-2244
647	18	2	10	-2262
648	18	2	10	-2280
649	18	2	10	-2298
650	18	2	10	-2316
651	18	2	10	-2334
652	18	2	11	-1352
653	18	2	11	-1370
654	18	2	11	-1388
655	18	2	11	-1406
656	18	2	11	-1424
657	17	3	11	-1441
658	16	4	11	-1457
659	16	4	11	-1473
660	16	4	11	-1489
661	16	4	11	-1505
662	16	4	11	-1521
663	16	4	11	-1537
664	14	6	11	-1551
665	14	6	11	-1565
666	14	6	11	-1579
667	14	6	11	-1593
668	14	6	11	-1607
669	14	6	11	-1621
670	14	6	11	-1635
671	14	6	11	-1649
672	14	6	11	-1663
673	14	6	11	-1677
674	14	6	11	-1691
675	14	6	11	-1705
676	14	6	11	-1719
677	14	6	11	-1733
678	14	6	11	-1747
679	14	6	11	-1761
680	13	7	11	-1774
681	13	7	11	-1787
682	12	8	11	-1799
683	12	8	11	-1811
684	12	8	11	-1823
685	12	8	11	-1835
686	12	8	11	-1847
687	12	8	11	-1859
688	12	8	11	-1871
689	12	8	11	-1883
690	12	8	11	-1895
691	12	8	11	-1907
692	12	8	11	-1919
693	12	8	11	-1931
694	12	8	11	-1943
695	12	8	11	-1955
696	12	8	11	-1967
697	12	8	11	-1979
